nationality;checked;created_by;updated_by
Afghan;true;1;1
Åland Islander;true;1;1
Albanian;true;1;1
Algerian;true;1;1
American;true;1;1
American Samoan;true;1;1
Andorran;true;1;1
Angolan;true;1;1
Anguillan;true;1;1
Antiguan;true;1;1
Argentinian;true;1;1
Armenian;true;1;1
Aruban;true;1;1
Australian;true;1;1
Austrian;true;1;1
Azerbaijani;true;1;1
Bahamian;true;1;1
Bahraini;true;1;1
Bangladeshi;true;1;1
Barbadian;true;1;1
Basotho;true;1;1
Belarusian;true;1;1
Belgian;true;1;1
Belizean;true;1;1
Beninese;true;1;1
Bermudian;true;1;1
Bhutanese;true;1;1
Bolivian;true;1;1
Bosnian;true;1;1
Botswanan;true;1;1
Brazilian;true;1;1
British;true;1;1
British Virgin Islander;true;1;1
Bruneian;true;1;1
Bulgarian;true;1;1
Burkinabe;true;1;1
Burundian;true;1;1
Cambodian;true;1;1
Cameroonian;true;1;1
Canadian;true;1;1
Cape Verdean;true;1;1
Caymanian;true;1;1
Central African;true;1;1
Chadian;true;1;1
Chilean;true;1;1
Chinese;true;1;1
Christmas Islander;true;1;1
Cocos Islander;true;1;1
Colombian;true;1;1
Comorian;true;1;1
Congolese;true;1;1
Cook Islander;true;1;1
Costa Rican;true;1;1
Croat;true;1;1
Cuban;true;1;1
Curaçaoan;true;1;1
Cypriot;true;1;1
Czech;true;1;1
Danish;true;1;1
Djiboutian;true;1;1
Dominican;true;1;1
Dutch;true;1;1
East Timorese;true;1;1
Ecuadorian;true;1;1
Egyptian;true;1;1
Emirati;true;1;1
Equatorial Guinean;true;1;1
Eritrean;true;1;1
Estonian;true;1;1
Ethiopian;true;1;1
Faeroese;true;1;1
Falkland Islander;true;1;1
Fijian;true;1;1
Filipino;true;1;1
Finnish;true;1;1
French;true;1;1
Gabonese;true;1;1
Gambian;true;1;1
Georgian;true;1;1
German;true;1;1
Ghanaian;true;1;1
Gibraltarian;true;1;1
Greek;true;1;1
Greenlander;true;1;1
Grenadian;true;1;1
Guadeloupean;true;1;1
Guamanian;true;1;1
Guatemalan;true;1;1
Guernsey national;true;1;1
Guianese;true;1;1
Guinea-Bissau national;true;1;1
Guinean;true;1;1
Guyanese;true;1;1
Haitian;true;1;1
Honduran;true;1;1
Hong Kong Chinese;true;1;1
Hungarian;true;1;1
Icelandic;true;1;1
Indian;true;1;1
Indonesian;true;1;1
Iranian;true;1;1
Iraqi;true;1;1
Irish;true;1;1
Israeli;true;1;1
Italian;true;1;1
Ivorian;true;1;1
Jamaican;true;1;1
Japanese;true;1;1
Jersey national;true;1;1
Jordanian;true;1;1
Kazakh;true;1;1
Kenyan;true;1;1
Kiribatian;true;1;1
Kittsian;true;1;1
Kuwaiti;true;1;1
Kyrgyz;true;1;1
Lao;true;1;1
Latvian;true;1;1
Lebanese;true;1;1
Liberian;true;1;1
Libyan;true;1;1
Liechtensteiner;true;1;1
Lithuanian;true;1;1
Luxembourger;true;1;1
Macanese;true;1;1
Macedonian;true;1;1
Mahorais;true;1;1
Malagasy;true;1;1
Malawian;true;1;1
Malaysian;true;1;1
Maldivian;true;1;1
Malian;true;1;1
Maltese;true;1;1
Manx;true;1;1
Marshallese;true;1;1
Martinican;true;1;1
Mauritanian;true;1;1
Mauritian;true;1;1
Mexican;true;1;1
Micronesian;true;1;1
Miquelonnais;true;1;1
Moldovan;true;1;1
Monegasque;true;1;1
Mongolian;true;1;1
Montenegrin;true;1;1
Montserratian;true;1;1
Moroccan;true;1;1
Mozambican;true;1;1
Namibian;true;1;1
Nauruan;true;1;1
Nepalese;true;1;1
New Caledonian;true;1;1
New Zealander;true;1;1
Nicaraguan;true;1;1
Nigerian;true;1;1
Nigerien;true;1;1
Niuean;true;1;1
Norfolk Islander;true;1;1
North Korean;true;1;1
Northern Mariana Islander;true;1;1
Norwegian;true;1;1
Myanmar national;true;1;1
Omani;true;1;1
Pakistani;true;1;1
Palauan;true;1;1
Panamanian;true;1;1
Papua New Guinean;true;1;1
Paraguayan;true;1;1
Peruvian;true;1;1
Pitcairner;true;1;1
Pole;true;1;1
Polynesian;true;1;1
Portuguese;true;1;1
Puerto Rican;true;1;1
Qatari;true;1;1
Reunionese;true;1;1
Romanian;true;1;1
Russian;true;1;1
Rwandan;true;1;1
Sahrawi;true;1;1
Saint Barthélemy national;true;1;1
Saint Helenian;true;1;1
Saint Lucian;true;1;1
Saint Martin national;true;1;1
Salvadoran;true;1;1
Samoan;true;1;1
San Marinese;true;1;1
São Toméan;true;1;1
Saudi Arabian;true;1;1
Senegalese;true;1;1
Serb;true;1;1
Seychellois;true;1;1
Sierra Leonean;true;1;1
Singaporean;true;1;1
Sint Maartener;true;1;1
Slovak;true;1;1
Slovene;true;1;1
Solomon Islander;true;1;1
Somali;true;1;1
South African;true;1;1
South Korean;true;1;1
South Sudanese;true;1;1
Spaniard;true;1;1
Sri Lankan;true;1;1
Sudanese;true;1;1
Surinamer;true;1;1
Swazi;true;1;1
Swedish;true;1;1
Swiss;true;1;1
Syrian;true;1;1
Taiwanese;true;1;1
Tajik;true;1;1
Tanzanian;true;1;1
Thai;true;1;1
Togolese;true;1;1
Tongan;true;1;1
Trinidadian;true;1;1
Tunisian;true;1;1
Turk;true;1;1
Turkmen;true;1;1
Turks and Caicos Islander;true;1;1
Tuvaluan;true;1;1
Ugandan;true;1;1
Ukrainian;true;1;1
Uruguayan;true;1;1
US Virgin Islander;true;1;1
Uzbek;true;1;1
Vanuatuan;true;1;1
Vatican national;true;1;1
Venezuelan;true;1;1
Vietnamese;true;1;1
Vincentian;true;1;1
Wallisian;true;1;1
Yemenite;true;1;1
Zambian;true;1;1
Zimbabwean;true;1;1
