quality;checked;created_by;updated_by
Attendance;true;1;1
Punctuality;true;1;1
Ambition;true;1;1
Analytical skills;true;1;1
Personal appearance;true;1;1
Artistic skills;true;1;1
Assertiveness;true;1;1
Completing assignments;true;1;1
Care for the workplace;true;1;1
Communication;true;1;1
Concentration;true;1;1
Confidence;true;1;1
Courtesy;true;1;1
Creativity;true;1;1
Investigative skills;true;1;1
Decision-making;true;1;1
Delegation;true;1;1
Dexterity;true;1;1
Diplomacy;true;1;1
Discretion;true;1;1
Enthusiasm;true;1;1
Flexibility;true;1;1
Following instructions;true;1;1
Health and fitness;true;1;1
Initiative;true;1;1
Judgement;true;1;1
Leadership;true;1;1
Numeracy;true;1;1
Meeting deadlines;true;1;1
Mental agility;true;1;1
Organization;true;1;1
Personality;true;1;1
Physical agility;true;1;1
Physical strength;true;1;1
Planning;true;1;1
Pressure;true;1;1
Pride in work;true;1;1
Problem-solving;true;1;1
Response to criticism;true;1;1
Crisis management;true;1;1
Teamwork;true;1;1
Determination;true;1;1
Unsupervised work;true;1;1
Accuracy;true;1;1
Courage;true;1;1
Literacy;true;1;1
Negotiation;true;1;1
Presentation skills;true;1;1
